sensors/logging_button,2015-03-21 07:12:46,START
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.55,-3.66
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.56,-3.65
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.54,-3.64
sensors/encoder,2015-03-21 07:12:49,0.45381040431266845,48103.90285714286
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.59,-2.53,-3.63
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.58,-3.6
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.55,-2.56,-3.61
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.57,-2.51,-3.62
sensors/encoder,2015-03-21 07:12:49,0.5550108538587848,48285.94428571428
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.58,-2.56,-3.62
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.57,-3.61
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.6,-2.56,-3.62
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.51,-3.63
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.52,-3.64
sensors/encoder,2015-03-21 07:12:49,0.47517633053221286,48467.985714285714
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.54,-3.64
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.58,-3.64
sensors/imu,2015-03-21 07:12:49,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.54,-3.64
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.54,-3.67
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.53,-3.7
sensors/encoder,2015-03-21 07:12:50,0.47696105042016806,48650.02714285714
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.57,-3.7
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.59,-3.73
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.57,-3.72
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.55,-3.72
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.56,-3.67
sensors/encoder,2015-03-21 07:12:50,0.47874577030812326,48832.06857142857
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.57,-3.63
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.54,-3.59
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.52,-3.53
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.51,-3.48
sensors/encoder,2015-03-21 07:12:50,0.5327620652173913,49014.11
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.53,-3.43
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.53,-3.41
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.51,-3.37
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.49,-3.35
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.53,-3.33
sensors/encoder,2015-03-21 07:12:50,0.48231521008403355,49196.15142857142
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.56,-3.33
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.57,-3.37
sensors/gps,2015-03-21 07:12:50,2015-03-21 11:13:24,40.43347147777676,N,8.585143027835423,W,1,7,1.15,375.2
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.57,-3.43
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.55,-3.49
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.57,-3.56
sensors/encoder,2015-03-21 07:12:50,0.47479031593406595,49378.19285714286
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-2.58,-3.62
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.56,-3.63
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-2.55,-3.65
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.71,-2.57,-3.59
sensors/encoder,2015-03-21 07:12:50,0.4765407142857142,49560.23428571428
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.73,-2.57,-3.63
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.69,-2.55,-3.55
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.53,-3.52
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.52,-3.51
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.7,-2.55,-3.5
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.55,-3.49
sensors/encoder,2015-03-21 07:12:50,0.46926675202156337,49742.275714285715
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.68,-2.54,-3.49
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.65,-2.55,-3.5
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.64,-2.55,-3.52
sensors/encoder,2015-03-21 07:12:50,0.5738427257799672,49924.317142857144
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.58,-3.55
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.57,-3.58
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.67,-2.57,-3.58
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.57,-3.57
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.56,-3.57
sensors/imu,2015-03-21 07:12:50,0.0,0.0,0.0,0.0,0.0,0.0,106.66,-2.55,-3.57
sensors/encoder,2015-03-21 07:12:50,0.49123880952380955,50106.35857142857
